curso,grupo_tcc,no_corpus,periodo,ordem_periodo,egressos_acumulado,fonte
Letras — Inglês (nova estrutura),Letras,Sim,2009–2014.2,3,0,PROEG
Letras — Inglês (nova estrutura),Letras,Sim,2015–2020.2,4,23,PROEG
Letras — Inglês (nova estrutura),Letras,Sim,2021–2025.1,5,46,PROEG
Letras — Espanhol (nova estrutura),Letras,Sim,Até 2002.2,1,0,PROEG
Letras — Espanhol (nova estrutura),Letras,Sim,2003–2008.2,2,0,PROEG
Letras — Espanhol (nova estrutura),Letras,Sim,2009–2014.2,3,0,PROEG
Letras — Espanhol (nova estrutura),Letras,Sim,2015–2020.2,4,21,PROEG
Letras — Espanhol (nova estrutura),Letras,Sim,2021–2025.1,5,41,PROEG
Música,Música,Sim,Até 2002.2,1,0,PROEG
Música,Música,Sim,2003–2008.2,2,0,PROEG
Música,Música,Sim,2009–2014.2,3,0,PROEG
Música,Música,Sim,2015–2020.2,4,16,PROEG
Música,Música,Sim,2021–2025.1,5,41,PROEG
Letras — Francês (nova estrutura),Letras,Sim,Até 2002.2,1,0,PROEG
Letras — Francês (nova estrutura),Letras,Sim,2003–2008.2,2,0,PROEG
Letras — Francês (nova estrutura),Letras,Sim,2009–2014.2,3,0,PROEG
Letras — Francês (nova estrutura),Letras,Sim,2015–2020.2,4,16,PROEG
Letras — Francês (nova estrutura),Letras,Sim,2021–2025.1,5,20,PROEG
Letras — Hab. Literatura/Português (antiga),Letras,Sim,Até 2002.2,1,159,PROEG
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2003–2008.2,2,248,PROEG
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2009–2014.2,3,289,PROEG
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2015–2020.2,4,289,PROEG
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2021–2025.1,5,289,PROEG
Letras — Hab. Espanhol (antiga),Letras,Sim,Até 2002.2,1,45,PROEG
Letras — Hab. Espanhol (antiga),Letras,Sim,2003–2008.2,2,78,PROEG
Letras — Hab. Espanhol (antiga),Letras,Sim,2009–2014.2,3,123,PROEG
Letras — Hab. Espanhol (antiga),Letras,Sim,2015–2020.2,4,123,PROEG
Letras — Hab. Espanhol (antiga),Letras,Sim,2021–2025.1,5,123,PROEG
Letras — Hab. Inglês (antiga),Letras,Sim,Até 2002.2,1,34,PROEG
Letras — Hab. Inglês (antiga),Letras,Sim,2003–2008.2,2,53,PROEG
Letras — Hab. Inglês (antiga),Letras,Sim,2009–2014.2,3,93,PROEG
Letras — Hab. Inglês (antiga),Letras,Sim,2015–2020.2,4,92,PROEG
Letras — Hab. Inglês (antiga),Letras,Sim,2021–2025.1,5,92,PROEG
