id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
126,Matemática,DIAGNÓSTICO DO NÍVEL DE APRENDIZAGEM POR MEIO DA ATIVIDADE DE SITUAÇÕES PROBLEMA DOCENTE NO CONTEÚDO DE ADIÇÃO E SUBTRAÇÃO NOS ESTUDANTES DO 3º ANO DO ENSINO FUNDAMENTAL DO COLÉGIO DE APLICAÇÃO/UFRR,HUDSON CARDOSO DE ARAÚJO,Prof. Dr. Héctor José García Mendoza.,Fabricio Batista da Silva,2019,Matemática
120,Matemática,A ATIVIDADE SITUAÇÕES PROBLEMA DISCENTE EM EXPRESSÕES ALGÉBRICAS EM ESTUDANTES DO 7° ANO NO COLÉGIO DE APLICAÇÃO DA UNIVERSIDADE FEDERAL DE RORAIMA,SUZELI TAVARES DE MOURA,Prof. Dr. Héctor José  García Mendoza,Fabricio Batista da Silva,2024,Matemática
128,Matemática,A Atividade de Situações Problema em aprendizagem na resolução de Operações com os Números Inteiros fundamentado em Galperin nos estudantes de 7° ano de Ensino Fundamental na Escola Estadual Professor Voltaire Pinto Ribeiro.,AMANDA CAROLINE GOMES DA SILVA,Prof. Dr. Héctor José  García Mendoza,Fabricio Batista da Silva,2018,Matemática
127,Matemática,UM INSTRUMENTO QUANTITATIVO DA ATIVIDADE DE SITUAÇÕES PROBLEMA EM MATEMÁTICA,ÍTALO NATAN OLIVEIRA DE ARAÚJO,Prof. Dr. Héctor José García  Mendoza,Fabricio Batista da Silva,2018,Matemática
86,Música,PRÁTICAS DE ENSINO DE MÚSICA: EXPERIÊNCIA DE FORMAÇÃO DOCENTE NO PROGRAMA RESIDÊNCIA PEDAGÓGICA COM ALUNOS DO 6o ANO DO ENSINO FUNDAMENTAL,TAWAN WALLACE PADILHA DA SILVA,Dr. José Rodrigo Santos Velho,Jelynne Ewellyn Felipe Pinto,2025,Música
109,Música,MÚSICA INDÍGENA PARA FLAUTA DOCE: POSSIBILIDADES DIDÁTICAS COM MUSICALIDADES DE QUATRO ESTILOS RORAIMENSES,ELIEL BERGUE VALENTE,Prof. Dr. Rafael Branquinho Abdala Norberto,Karimy Manuelle da Silva Balbino,2022,Música
87,Música,"MÚSICA E MOVIMENTO: ""O PASSO"" COMO POSSIBILIDADE INTERDISCIPLINAR ENTRE MÚSICA E EDUCAÇÃO FÍSICA",PRISCILLA DE ARAÚJO COSTA DE SOUSA,Prof.a Dra Jéssica de Almeida,Jelynne Ewellyn Felipe Pinto,2021,Música
82,Música,ESCOLAS DE SAMBA EM BOA VISTA (RR): UM ESTUDO A PARTIR DAS MEMÓRIAS DE PRATICANTES DE DUAS ESCOLAS,MAGNÁCIA SOARES SABÓIA,Prof. Dr. Rafael Branquinho Abdala Norberto.,Jelynne Ewellyn Felipe Pinto,2025,Música
83,Música,CONTRABAIXO ELÉTRICO: UM ESTUDO DAS LEVADAS EM QUATRO GÊNEROS MUSICAIS DA REGIÃO NORTE,ALEXANDRE ALVES SILVA,Prof. M.e Jefferson Tiago de Souza Mendes da Silva,Jelynne Ewellyn Felipe Pinto,2020,Música
84,Música,FESTIVAL FOLCLÓRICO DE CARACARAÍ,JOELSON VAZ DA SILVA,Prof. Dr. Gustavo Frosi Benetti,Jelynne Ewellyn Felipe Pinto,2019,Música
85,Música,PRÁTICAS INFORMAIS DE APRENDIZAGEM MUSICAL NA FORMAÇÃO DISCENTE DO CURSO DE LICENCIATURA EM MÚSICA DA UFRR,NATHÁLIA GABRIELLE LAGO DA SILVA,Profa. Dra. Jéssica de Almeida.,Jelynne Ewelllyn Felipe Pinto,2021,Música
99,Música,CONSIDERAÇÕES SOBRE A MÚSICA RITUAL NO TERREIRO DE UMBANDA OGUM MATINATA EM BOA VISTA – RR,RODRIGO VIEIRA DE OLIVEIRA,Prof. Dr. Rafael Branquinho Abdala Norberto,Bianca de Jesus Ramos,2025,Música
98,Música,A IMPORTÂNCIA DA REGÊNCIA NAS AULAS DE MÚSICA NA EDUCAÇÃO BÁSICA,RADVAN CARVALHO DE OLIVEIRA,Prof. Dr. Luciano Camargo,Bianca de Jesus Ramos,2019,Música
