id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
102,Insikiran,APLICAÇÃO DA MODELAGEM MATEMÁTICA NA CONSTRUÇÃO DE UMA HORTA ESCOLAR NA ESCOLA ESTADUAL INDÍGENA NOVA MONTE MORIÁ II,LUIZA ANTÔNIA SILVA DE SOUZA,Edlamar Menezes da Costa,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
101,Insikiran,"ALIMENTAÇÃO, SAÚDE E EDUCAÇÃO NA COMUNIDADEINDÍGENAMURIRU – TERRA INDÍGENA MURIRU EMRORAIMA.",KELLY LEOCÁDIO GOMES,Fabíola Christian Almeida de Carvalho,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
61,Insikiran,RELATO DE EXPERIÊNCIA NA ESCOLA ESTADUAL INDÍGENA TUXAUA EVARISTO:SOLETRANDO NA ESCOLA,FRANCISCA DAS CHAGAS OLIVEIRA RAPOSO,Danielle Trindade,Jelynne Ewellyn Felipe Pinto,2024,Insikiran – Comunicação e Artes
100,Insikiran,ALGORITMOS ALTERNATIVOS PARA AS OPERAÇÕES ARITMÉTICAS FUNDAMENTAIS,MILTON MARCO DE SOUZA,Prof. Dr. Michael Lopes da Silva Rolim,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
60,Insikiran,PRÁTICAS DE LEITURAS PARA FORMAÇÃO DE LEITORES INDÍGENAS:EXPERIÊNCIAS PEDAGÓGICAS NA ESCOLA ESTADUAL INDÍGENA VOVÔ EMILIANO WAPICHANA,PÉDIRA DA SILVA SANTIAGO,Profa. Dra. Aurea Lúcia Melo Oliveira Corrêa.,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Comunicação e Artes
58,Insikiran,Material didático como instrumento pedagógico para o ensino da leitura e da escrita da língua Wapichana,Hernesto Manoel Nides Dionísio,Prof. Msc. Celino Alexandre Raposo,Jelynne Ewellyn Felipe Pinto,2024,Insikiran – Comunicação e Artes
118,Insikiran,O uso de um aplicativo usando as 4 operações matemática com alunos da Escola Estadual Indígena Manelino Germano Salvador,Jaime da Silva Veras,Prof.ª Drº. Michael Lopes da Silva Rolim,Laíne Pereira Fernandes,2025,Insikiran – Ciências da Natureza
117,Insikiran,A LUDICIDADE NO ENSINO DA MATEMÁTICANOENSINOFUNDAMEMTAL I,OTONIEL NASCIMENTO DE OLIVEIRA,Michael Rolim,Laíne Pereira Fernandes,2025,Insikiran – Ciências da Natureza
116,Insikiran,"SABERES TRADICIONAIS NO USO DAS PLANTAS MEDICINAISPELACOMUNIDADE SERRA DO SOL, UIRAMUTÃ – RORAIMA",GLÊNIO BARBOSA ANDRADE,Professora Doutora Ise de Goreth Silva,Laíne Pereira Fernandes,2025,Insikiran – Ciências da Natureza
59,Insikiran,O JOGOS DE FUTEBOL COMO RECURSO PEDAGÓGICO PARA O ENSINO DE LÍNGUA MAKUXI NA COMUNIDADE INDÍGENA ROÇA,IRINEU PAULO LOPES,Celino Alexandre Raposo,Jelynne Ewellyn Felipe,2024,Insikiran – Comunicação e Artes
107,Insikiran,USO E DIVERSIDADE DE PIMENTAS ARDOSAS NACOMUNIDADE ALTO ARRAIA: TRAÇANDO NOVOS CAMINHOS INTERCULTURAIS,ROBINEIDE DA SILVA SANTIAGO,Profª. Mariana Cunha,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
106,Insikiran,PLANTAS NATIVAS COMO MEDICINA TRADICIONAL INDÍGENA DA COMUNIDADE OLHO D’ÁGUA,MARIO SILVA DE OLIVEIRA,Jovina Mafra dos Santos.,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
